"2019-07-02 12:17:50 [restartedMain] INFO  c.e.p.l.l.LoggingSampleApplication - Starting LoggingSampleApplication on anuradha-PC with PID 30003 (/media/anuradha/Stuff/self/pro-logging/logging-sample/target/classes started by anuradha in /media/anuradha/Stuff/self/pro-logging/logging-sample)
""2019-07-02 12:17:50 [restartedMain] INFO  c.e.p.l.l.LoggingSampleApplication - No active profile set, falling back to default profiles: default
""2019-07-02 12:17:50 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2019-07-02 12:17:50 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2019-07-02 12:17:50 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-07-02 12:17:50 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67ms. Found 1 repository interfaces.
""2019-07-02 12:17:51 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b7c0cbeb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-07-02 12:17:51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-07-02 12:17:51 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
""2019-07-02 12:17:51 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-07-02 12:17:51 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
""2019-07-02 12:17:51 [restartedMain] INFO  o.a.c.c.C.[.[.[/api/govi_mithuru] - Initializing Spring embedded WebApplicationContext
""2019-07-02 12:17:51 [restartedMain] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1656 ms
""2019-07-02 12:17:51 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-07-02 12:17:51 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-07-02 12:17:52 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-07-02 12:17:52 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
""2019-07-02 12:17:52 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-07-02 12:17:52 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
